施設名,所在地,指定緊急避難場所（大規模な火事）
札幌ドーム,羊が丘1番地,○
月寒公園,美園10～12条7～8丁目、月寒西2～3条4丁目,○
西岡公園,西岡544番地,○
道立産業共進会場,月寒東3条11丁目1,○
平岸霊園,平岸5条15丁目1,○
豊平公園,豊平5条13丁目1,○
北海道農業研究センター,羊が丘1番地,○
