最寄の交通機関,最寄の駅又はバス停,駐輪場名,住所,原動機付自転車の駐車可否
地下鉄東西線,宮の沢駅,宮の沢駅交通局第1駐輪場,北海道札幌市西区発寒6条10丁目,50cc以下は可
地下鉄東西線,宮の沢駅,宮の沢駅交通局第2駐輪場,北海道札幌市西区発寒6条9丁目,50cc以下は可
地下鉄東西線,発寒南駅,発寒南駅第1駐輪場,北海道札幌市西区発寒2条5丁目,50cc以下は可
地下鉄東西線,発寒南駅,発寒南駅第2駐輪場,北海道札幌市西区西町北8丁目,50cc以下は可
地下鉄東西線,発寒南駅,発寒南駅路上駐輪場,北海道札幌市西区西町北8丁目,50cc以下は可
地下鉄東西線,発寒南駅,発寒南駅交通局駐輪場,北海道札幌市西区発寒2条5丁目,50cc以下は可
地下鉄東西線,発寒南駅,発寒南駅路上2駐輪場,北海道札幌市西区西町北8丁目,50cc以下は可
地下鉄東西線,琴似駅,地下鉄琴似駅第1駐輪場,北海道札幌市西区琴似2条4丁目,125cc以下は可
地下鉄東西線,琴似駅,地下鉄琴似駅第2駐輪場,北海道札幌市西区琴似2条4丁目,50cc以下は可
地下鉄東西線,琴似駅,琴似バスターミナル前路上駐輪場,北海道札幌市西区琴似1条4丁目,50cc以下は可
地下鉄東西線,琴似駅,琴似駅路上第1駐輪場,北海道札幌市西区琴似2条4丁目,50cc以下は可
地下鉄東西線,琴似駅,琴似駅交通局駐輪場,北海道札幌市西区二十四軒4条5丁目,50cc以下は可
地下鉄東西線,二十四軒駅,二十四軒駅交通局駐輪場,北海道札幌市西区二十四軒1条5丁目,50cc以下は可
地下鉄東西線,二十四軒駅,二十四軒駅駐輪場,北海道札幌市西区二十四軒1条5丁目,50cc以下は可
地下鉄東西線,二十四軒駅,二十四軒駅第2駐輪場,北海道札幌市西区二十四軒1条4丁目,50cc以下は可
地下鉄東西線,二十四軒駅,二十四軒駅第3駐輪場,北海道札幌市西区二十四軒1条4丁目,50cc以下は可
地下鉄東西線,西28丁目駅,西28丁目駅駐輪場,北海道札幌市中央区北5条西27丁目,50cc以下は可
地下鉄東西線,西28丁目駅,西28丁目駅第2駐輪場,北海道札幌市中央区北5条西27丁目,125cc以下は可
地下鉄東西線,円山公園駅,円山公園駅駐輪場,北海道札幌市中央区南1条西26丁目,50cc以下は可
