施設名,所在地
篠路破砕工場,篠路町福移153
豊明高等養護学校,西茨戸4条1丁目
札幌工業高校,北20条西13丁目
札幌北高校,北25条西11丁目
札幌北陵高校,屯田7条8丁目
札幌国際情報高校,新川717番地1
有朋高校,屯田9条7丁目
札幌英藍高校,篠路町篠路372-67
