施設名,所在地
札幌光星高校,北13条東9丁目
札幌大谷高校,北16条東9丁目
札幌北斗高校,北15条東2丁目
札幌東陵高校,東苗穂10条1丁目
札幌丘珠高校,北丘珠1条2丁目
