施設名,所在地,指定緊急避難場所（大規模な火事）
札幌市スポーツ交流施設（つどーむ）,栄町885番地1,○
開成中等教育学校,北22条東21丁目1-1,○
ひのまる公園,北41条東10丁目1,○
札幌市農業体験交流施設（さとらんど）,丘珠町584-2他,○
美香保公園,北20～22条東4～5丁目,○
伏古公園・札幌小学校グラウンド,伏古1条2丁目,○
