施設名,所在地
北海学園札幌高校（旧札幌商業高校）,旭町4丁目
北海道尚志学園高校,中の島2条6丁目
札幌月寒高校,月寒東1条3丁目
札幌大学,西岡3条7丁目
札幌第一高校,月寒西1条9丁目
札幌平岸高校,平岸5条18丁目
北海学園大学,旭町4丁目
北海高校,旭町4丁目
