施設名,所在地,指定緊急避難場所（大規模な火事）
あいの里公園,あいの里4条8丁目,○
新川中央公園・札幌新川高校グラウンド・新川小学校グラウンド,新川4条14丁目、新川5条14～15丁目,○
屯田西公園,屯田4条9～10丁目,○
百合が原公園,百合が原公園210,○
北大農場（北18条以南）,北8～18条西10～13丁目,○
北大農場（北19条以北）,北19～23条西9～13丁目,○
麻生球場,麻生町7丁目8-1,○
