サイト名,データセット名,リソース名,サイトURL
東京都オープンデータカタログサイト,観光施設一覧,観光施設一覧,/opendata/res_063.csv
東京都オープンデータカタログサイト,観光施設一覧,観光施設一覧,/opendata/res_064.csv
東京都オープンデータカタログサイト,観光施設一覧,観光施設一覧,/opendata/res_065.csv
BODIK ODCS,垂水市　観光施設一覧,垂水市　観光施設一覧,/opendata/res_066.csv
大阪市オープンデータポータルサイト,観光施設一覧（内閣官房推奨データセット05）,観光施設一覧（令和3年12月末現在）,/opendata/res_067.csv
富山市オープンデータ,インフォマップとやま＿観光情報マップ＿観光施設情報,観光施設,/opendata/res_068.xlsx
BODIK ODCS,観光施設一覧（波佐見町）,観光施設一覧（波佐見町）,/opendata/res_069.csv
BODIK ODCS,熊本県氷川町オープンデータ,観光施設.csv,/opendata/res_070.csv
BODIK ODCS,多久市　観光施設一覧,多久市　観光施設一覧,/opendata/res_071.csv
BODIK ODCS,新上五島町観光・防災Wi-Fi設置施設一覧,424111_kankoubousaiwi-fi,/opendata/res_072.csv
BODIK ODCS,いけるん掲載の観光施設の位置情報,いけるん掲載の観光施設の位置情報,/opendata/res_073.csv
OpenData 那須 | 那須地域定住自立圏オープンデータカタログ,【那須塩原市】観光施設 商工観光,観光施設 商工観光施設,/opendata/res_074.csv
OpenData 那須 | 那須地域定住自立圏オープンデータカタログ,【那須塩原市】観光施設 農務畜産,観光施設 農務畜産施設,/opendata/res_075.csv
BODIK ODCS,観光施設一覧（佐世保市）,観光・商工施設一覧（佐世保市）,/opendata/res_076.csv
OpenData 那須 | 那須地域定住自立圏オープンデータカタログ,【那須塩原市】観光施設 産業観光建設（塩原支所）,観光施設 産業観光建設施設（塩原支所）,/opendata/res_077.csv
東京都オープンデータカタログサイト,公共施設一覧,文化・産業・観光施設,/opendata/res_078.csv
東京都オープンデータカタログサイト,標準化フォーマットデータ,観光施設一覧(推奨データセット準拠データ),/opendata/res_079.xlsx
DATA for CITIZEN（会津若松市）,推奨データセット05：観光施設一覧,推奨データセット05：観光施設一覧,/opendata/res_080.csv
大阪市オープンデータポータルサイト,「マップナビおおさか」掲載情報（施設一覧・防災関連・地価）,06_施設情報ポイントデータ（文化・観光）,/opendata/res_081.csv
BODIK ODCS,観光施設（諫早市）,観光施設一覧,/opendata/res_082.xlsx
BODIK ODCS,観光施設（諫早市）,観光施設一覧,/opendata/res_083.csv
