名称,施設概要,郵便番号,住所,電話番号,設備の写真,利用時間,関連HP,施設カテゴリ,緯度,経度
道の駅「明治の森・黒磯」,,325-0103,栃木県那須塩原市青木27,0287-63-0399,,営業時間3月から10月まで午前8時30分から午後5時30分まで11月から2月まで午前8時30分から午後4時30分まで 休業日祝日を除く月曜日年始年末（1月1日から3日まで）5月2日から11月7日までは無休です。ただし、施設の都合により臨時休業となることがあります。,,観光施設,37.00031616981561,139.98420655236947
道の駅「湯の香しおばら」,,329-2801,栃木県那須塩原市関谷442番地,0287-35-3420 0287-35-4401,,営業時間3月から11月まで午前9時から午後5時まで12月から2月まで午前9時から午後4時まで 休業日年始年末（1月１日）　施設の都合により臨時休業となることがあります。,,観光施設,36.95554621423971,139.89849326501414
