名称,住所,緯度,経度
（一社）まつうら観光物産協会,長崎県松浦市志佐町浦免1038-3,33.343967,129.707759
道の駅松浦海のふるさと館,長崎県松浦市志佐町庄野免226-30,33.348671,129.701558
道の駅鷹ら島,長崎県松浦市鷹島町神崎免1639,33.433798,129.782330
とれたて福の島,長崎県松浦市福島町喜内瀬免680-1,33.373005,129.853680
（一社）まつうら党交流公社,長崎県松浦市志佐町浦免1808-1,33.347226,129.710730
鷹島海中ダム,長崎県松浦市鷹島町里免1168-2,33.442997,129.769134
白浜海水浴場,長崎県松浦市鷹島町阿翁浦免,33.457917,129.755154
鷹島肥前大橋,長崎県松浦市鷹島町神崎免,33.434293,129.782257
初崎海水浴場,長崎県松浦市福島町鍋串免,33.413762,129.796932
初崎キャンプ場,長崎県松浦市福島町鍋串免,33.411219,129.797823
土谷棚田,長崎県松浦市福島町土谷免,33.384793,129.816303
福島オートキャンプ場,長崎県松浦市福島町塩浜免,33.353022,129.813184
龍王の滝,長崎県松浦市志佐町柚木川内免,33.269815,129.773125
星鹿城山展望台,長崎県松浦市星鹿町岳崎免2300,33.387348,129.682563
宝の浜海水浴場,長崎県松浦市星鹿町青島免701-10,33.415363,129.685943
大崎海水浴場,長崎県松浦市御厨町大崎免881,33.366714,129.647054
鷹島モンゴル村,長崎県松浦市鷹島町阿翁免1646-1,33.467639,129.754570
松浦市民休養施設柚木川内キャンプ場,長崎県松浦市志佐町柚木川内免552,33.272272,127.771410
松浦市立埋蔵文化財センター,長崎県松浦市鷹島町神崎免146,33.436623,129.762336
国史跡鷹島神崎遺跡展望所,長崎県松浦市鷹島町神崎免348-1,33.436070,129.761943
鷹島神崎遺跡,長崎県松浦市鷹島町神崎免地先,33.427652,129.773917
ぎぎが浜,長崎県松浦市今福町北免,33.360864,129.775405
梶谷城跡,長崎県松浦市今福町東免,33.352059,129.788247
今福神社,長崎県松浦市今福町東免68,33.348810,129.768716
善福寺,長崎県松浦市今福町仏坂免910,33.352199,129.762509
松浦水軍の兜,長崎県松浦市調川町平尾免,33.364512,129.741747
星鹿城山,長崎県松浦市星鹿町岳崎免,33.387348,129.682563
宛陵寺,長崎県松浦市今福町仏坂免958,33.351575,129.763008
旧宛陵寺跡,長崎県松浦市今福町坂野免,33.344085,129.760042
四季の森石倉,長崎県松浦市今福町木場免,33.336557,129.775482
志佐漁港　多目的広場（松浦海のふるさと館横芝生広場）,長崎県松浦市志佐町庄野免226-29,33.348242,129.702332
