名称,住所,緯度,経度
平戸城,平戸市岩の上町1458,,
松浦史料博物館,平戸市鏡川町12,,
平戸オランダ商館,平戸市大久保町2477,,
平戸市切支丹資料館,平戸市大石脇町1502-1,,
たびら昆虫自然園,平戸市田平町荻田免1628-4,,
生月町博物館島の館,平戸市生月町南免4289-1,,
鄭成功記念館,平戸市川内町1114-2,,
梅ヶ谷津偕楽園,平戸市明の川内町348,,
最教寺（三重大塔・霊宝館）,平戸市岩の上町1205,,
