都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,0000000071,東京都,町田市,社会福祉法人南町田ちいろば会みぎわホーム,,,南町田4-10-38,,,35.51564662,139.4645521,,,,,,,,,,,,有,,無,10:00,18:00,日曜日、年末年始(12月31日～1月3日)を除く,,,
132098,0000000072,東京都,町田市,セブン-イレブン町田金森南店,,,金森6-5-1,,,35.524909,139.459773,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000073,東京都,町田市,セブン-イレブン町田金森店,,,金森2-21-17,,,35.533462,139.459682,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000074,東京都,町田市,ファミリーマート町田金森店,,,金森2-30-3,,,35.53034775,139.4580273,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000075,東京都,町田市,セブン-イレブン町田小川２丁目店,,,小川2-25-3,,,35.530428,139.471811,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000076,東京都,町田市,セブン-イレブン町田街道鶴間店,,,南町田5-3-53,,,35.51341177,139.4748798,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000077,東京都,町田市,セブン-イレブン東名町田インター店,,,鶴間8-15-21,,,35.510339,139.476827,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000078,東京都,町田市,慶性寺,,,大蔵町2177,,,35.5853173,139.4737149,,,,,,,,,,,,無,,無,08:00,18:00,,,,
132098,0000000079,東京都,町田市,でんかのヤマグチ　根岸店,,,根岸1-13-5,,,35.57271235,139.4138157,,,,,,,,,,,,有,,有,10:00,18:00,水曜日定休,,,
132098,0000000080,東京都,町田市,でんかのヤマグチ　修理処,,,忠生4-1-3,,,35.57860916,139.4102352,,,,,,,,,,,,無,,無,10:00,18:00,水曜日定休,,,
132098,0000000081,東京都,町田市,デイサービス　みずきの家,,,本町田2797,,,35.56643737,139.4456016,,,,,,,,,,,,有,,有,09:00,18:00,日、年末年始定休,,,
132098,0000000082,東京都,町田市,はじめの一歩,,,本町田2507-4,ハ16-106,,35.56715753,139.4359604,,,,,,,,,,,,有,,無,10:30,16:30,土・日曜日定休,,,
132098,0000000083,東京都,町田市,通所介護事業所　森のさろん,,,森野5-28-1,,,35.55063645,139.4369289,,,,,,,,,,,,有,,無,09:00,16:30,土・日曜日定休,,,
132098,0000000084,東京都,町田市,鶴川あんしん相談室,,,町田市鶴川6-7-2,第103号室,,35.59082219,139.4694568,,,,,,,,,,,,有,,無,08:30,17:00,日曜日定休,,,
