Title,URL,Filepath
札幌市内の食品営業許可施設一覧,https://ckan.pf-sapporo.jp/dataset/sapporo_food_business_licences,sapporo/foodbusinesslicenceslist20190331.csv
札幌市内の医療機関一覧,https://ckan.pf-sapporo.jp/dataset/sapporo_hospital,sapporo/011002hospital.csv
公園トイレ一覧,http://www.city.sapporo.jp/ryokuka/top/koueniji/benjoichiran.html,sapporo/01tyuou.csv
指定緊急避難場所一覧（中央区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/604902dd-df60-4ac3-aaf7-cf01dc798728,sapporo/hinancyuuousiteikinkyuhinan.csv
広域避難場所一覧（中央区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/01b9f70d-155c-4b50-9401-b97735415a3a,sapporo/hinancyuuoukouikihinan.csv
一時避難場所一覧（中央区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/2b68e6c9-25ff-41c5-9418-1af84a4c45fd,sapporo/hinancyuuouitijihinan.csv
指定緊急避難場所一覧（北区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/dd44e762-72fa-48c2-849a-03969523a7d0,sapporo/hinankitasiteikinkyuhinan.csv
広域避難場所一覧（北区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/6091d50d-29a2-4ab8-a1cf-a74f3f5011e9,sapporo/hinankitakouikihinan.csv
一時避難場所一覧（北区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/270354dc-55e3-4e0d-8659-1d3171a7874e,sapporo/hinankitaitijihinan.csv
指定緊急避難場所一覧（東区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/75fd0691-9a59-485e-a223-570877c7e1b1,sapporo/hinanhigashisiteikinkyuhinan.csv
広域避難場所一覧（東区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/10821e59-0dd2-4084-b5be-9e0ec51c9953,sapporo/hinanhigashikouikihinan.csv
一時避難場所一覧（東区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/56901f61-f150-40f3-a9c5-a2378527ea48,sapporo/hinanhigashiitijihinan.csv
指定緊急避難場所一覧（白石区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/89497d63-e781-44dd-919e-669515ace3c5,sapporo/hinansiroisisiteikinkyuhinan.csv
広域避難場所一覧（白石区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/7f0a4965-a918-4570-bc12-551fe4af5784,sapporo/hinansiroisikouikihinan.csv
一時避難場所一覧（白石区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/805316aa-4442-49e3-81b5-db9275ed8421,sapporo/hinansiroisiitijihinan.csv
指定緊急避難場所一覧（厚別区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/33873f81-c1e0-4d79-97b7-954747b0c1fa,sapporo/hinanatubetusiteikinkyuhinan.csv
広域避難場所一覧（厚別区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/7532dd8a-bac4-4c62-86c8-6f9abdcc7c4c,sapporo/hinanatubetukouikihinan.csv
一時避難場所一覧（厚別区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/c21bea24-2b4d-41d8-a841-7248e515e6a8,sapporo/hinanatubetuitijihinan.csv
指定緊急避難場所一覧（豊平区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/b2ef41ba-728e-49c6-99ee-902d6e912e77,sapporo/hinantoyohirasiteikinkyuhinan.csv
広域避難場所一覧（豊平区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/7532dd8a-bac4-4c62-86c8-6f9abdcc7c4c,sapporo/hinantoyohirakouikihinan.csv
一時避難場所一覧（豊平区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/fab04f6b-109b-46db-8957-ba08179d9370,sapporo/hinantoyohiraitijihinan.csv
指定緊急避難場所一覧（清田区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/b52949c4-2e1d-43d0-aede-7d2ab0ed3add,sapporo/hinankiyotasiteikinkyuhinan.csv
広域避難場所一覧（清田区）,https://ckan.pf-sapporo.jp/dataset/hinanjyo/resource/03086008-e870-49a3-9a4b-445a95592041,sapporo/hinankiyotakouikihinan.csv
